Epoch,Test Loss,Test Accuracy
1,0.04121782073974609,98.67
2,0.03612162389755249,98.83
3,0.03772812776565552,98.82
4,0.03132795667648315,98.98
5,0.03252441086769104,99.03
6,0.05083797843456268,98.84
7,0.04708711829185486,98.74
8,0.038048047590255735,98.99
9,0.038200238084793094,99.08
10,0.04440224885940552,98.9
11,0.052204012870788574,98.93
12,0.046558191204071044,99.06
13,0.04846582994461059,98.97
14,0.05134714287221432,99.04
15,0.06414192371368409,98.85
16,0.04962981123924255,99.01
17,0.05240608873739839,99.1
18,0.05679491767883301,98.87
19,0.07530368323326112,98.96
20,0.07222375650405884,98.9
